Minute,Team,Margin
0,ATL,-0.06097561
1,ATL,-0.06097561
2,ATL,-0.37804878
3,ATL,-0.243902439
4,ATL,-0.146341463
5,ATL,-0.463414634
6,ATL,-0.219512195
7,ATL,-0.219512195
8,ATL,-0.182926829
9,ATL,-0.085365854
10,ATL,0.414634146
11,ATL,0.109756098
12,ATL,0.365853659
13,ATL,0.353658537
14,ATL,0.695121951
15,ATL,0.62195122
16,ATL,0.829268293
17,ATL,1.341463415
18,ATL,0.695121951
19,ATL,0.707317073
20,ATL,0.426829268
21,ATL,0.524390244
22,ATL,0.62195122
23,ATL,0.37804878
24,ATL,0.585365854
25,ATL,0.451219512
26,ATL,0.658536585
27,ATL,0.792682927
28,ATL,0.731707317
29,ATL,0.719512195
30,ATL,1.243902439
31,ATL,1.158536585
32,ATL,1
33,ATL,1.048780488
34,ATL,1.243902439
35,ATL,1.304878049
36,ATL,1.463414634
37,ATL,1.756097561
38,ATL,2.109756098
39,ATL,2.536585366
40,ATL,2.487804878
41,ATL,2.292682927
42,ATL,2.853658537
43,ATL,3.280487805
44,ATL,2.731707317
45,ATL,3.256097561
46,ATL,3.487804878
47,ATL,3.634146341
48,ATL,4.170731707
49,ATL,3.609756098
0,DET,0.195121951
1,DET,0.195121951
2,DET,-0.06097561
3,DET,-0.012195122
4,DET,0.219512195
5,DET,0.207317073
6,DET,0.292682927
7,DET,0.56097561
8,DET,0.658536585
9,DET,0.926829268
10,DET,1.048780488
11,DET,0.731707317
12,DET,0.512195122
13,DET,-0.268292683
14,DET,0.085365854
15,DET,0.195121951
16,DET,0.231707317
17,DET,-0.109756098
18,DET,0.231707317
19,DET,0.5
20,DET,0.682926829
21,DET,0.817073171
22,DET,0.475609756
23,DET,-0.024390244
24,DET,-0.12195122
25,DET,-0.146341463
26,DET,-0.256097561
27,DET,-0.268292683
28,DET,-0.256097561
29,DET,-0.37804878
30,DET,-0.219512195
31,DET,-0.097560976
32,DET,0.231707317
33,DET,0.024390244
34,DET,-0.243902439
35,DET,-0.390243902
36,DET,-1
37,DET,-0.926829268
38,DET,-0.634146341
39,DET,-0.158536585
40,DET,0.012195122
41,DET,0.536585366
42,DET,0.609756098
